Uroviricota	Hofneiviricota	Phixviricota	Lenarviricota	Preplasmiviricota	Produgelaviricota	Dividoviricota
PHROG_1190						
PHROG_1191						
PHROG_1192						
PHROG_1193						
PHROG_1194						
PHROG_1195						
PHROG_1196						
PHROG_1197						
PHROG_1198						
PHROG_1200						
PHROG_1201						
PHROG_1202						
PHROG_1203						
PHROG_1204						
PHROG_1205						
PHROG_1206						
PHROG_1207						
PHROG_1208						
PHROG_1209						
PHROG_1210						
PHROG_1211						
PHROG_1212						
PHROG_1213						
PHROG_1214						
PHROG_1215						
PHROG_1216						
PHROG_1217						
PHROG_1218						
PHROG_1219						
PHROG_1220						
PHROG_1221						
PHROG_1222						
PHROG_1223						
PHROG_1224						
PHROG_1225						
PHROG_1226						
PHROG_1227						
PHROG_1228						
PHROG_1229						
PHROG_1230						
PHROG_1232						
PHROG_1233						
PHROG_1234						
PHROG_1235						
PHROG_1236						
PHROG_1237						
PHROG_1238						
PHROG_1239						
PHROG_1240						
PHROG_1241						
PHROG_1243						
PHROG_1244						
PHROG_1245						
PHROG_1246						
PHROG_1247						
PHROG_1248						
PHROG_1249						
PHROG_1250						
PHROG_1252						
PHROG_1253						
PHROG_1254						
PHROG_1255						
PHROG_1256						
PHROG_1257						
PHROG_1258						
PHROG_1259						
PHROG_1260						
PHROG_1261						
PHROG_1262						
PHROG_1263						
PHROG_1264						
PHROG_1265						
PHROG_1266						
PHROG_1267						
PHROG_1268						
PHROG_1269						
PHROG_1270						
PHROG_1271						
PHROG_1272						
PHROG_1273						
PHROG_1274						
PHROG_1275						
PHROG_1276						
PHROG_1277						
PHROG_1278						
PHROG_1279						
PHROG_1280						
PHROG_1281						
PHROG_1282						
PHROG_1283						
PHROG_1284						
PHROG_1285						
PHROG_1286						
PHROG_1287						
PHROG_1288						
PHROG_1290						
PHROG_1291						
PHROG_1292						
PHROG_1293						
PHROG_1294						
PHROG_1295						
PHROG_1296						
PHROG_1297						
PHROG_1298						
PHROG_1299						
PHROG_1300						
PHROG_1301						
PHROG_1302						
PHROG_1303						
PHROG_1304						
PHROG_1305						
PHROG_1306						
PHROG_1307						
PHROG_1308						
PHROG_1309						
PHROG_1310						
PHROG_1311						
PHROG_1312						
PHROG_1313						
PHROG_1314						
PHROG_1315						
PHROG_1316						
PHROG_1317						
PHROG_1318						
PHROG_1319						
PHROG_1320						
PHROG_1321						
PHROG_1322						
PHROG_1323						
PHROG_1325						
PHROG_1326						
PHROG_1327						
PHROG_1328						
PHROG_1329						
PHROG_1330						
PHROG_1331						
PHROG_1332						
PHROG_1333						
PHROG_1334						
PHROG_1335						
PHROG_1336						
PHROG_1337						
PHROG_1338						
PHROG_1339						
PHROG_1340						
PHROG_1341						
PHROG_1342						
PHROG_1344						
PHROG_1345						
PHROG_1346						
PHROG_1347						
PHROG_1348						
PHROG_1349						
PHROG_1350						
PHROG_1351						
PHROG_1352						
PHROG_1353						
PHROG_1354						
PHROG_1355						
PHROG_1356						
PHROG_1357						
PHROG_1358						
PHROG_1359						
PHROG_1360						
PHROG_1361						
PHROG_1362						
PHROG_1363						
PHROG_1364						
PHROG_1365						
PHROG_1366						
PHROG_1367						
PHROG_1368						
PHROG_1369						
PHROG_1370						
PHROG_1371						
PHROG_1372						
PHROG_1373						
PHROG_1374						
PHROG_1375						
PHROG_1376						
PHROG_1377						
PHROG_1378						
PHROG_1379						
PHROG_1380						
PHROG_1381						
PHROG_1382						
PHROG_1383						
PHROG_1384						
PHROG_1385						
PHROG_1387						
PHROG_1389						
PHROG_1390						
PHROG_1391						
PHROG_1392						
PHROG_1393						
PHROG_1394						
PHROG_1395						
PHROG_1396						
PHROG_1397						
PHROG_1398						
PHROG_1399						
PHROG_1400						
PHROG_1401						
PHROG_1402						
PHROG_1403						
PHROG_1404						
PHROG_1405						
PHROG_1406						
PHROG_1407						
PHROG_1408						
PHROG_1409						
PHROG_1411						
PHROG_1412						
PHROG_1413						
PHROG_1414						
PHROG_1415						
PHROG_1416						
PHROG_1417						
PHROG_1418						
PHROG_1419						
PHROG_1420						
PHROG_1421						
PHROG_1423						
PHROG_1424						
PHROG_1425						
PHROG_1426						
PHROG_1427						
PHROG_1428						
PHROG_1429						
PHROG_1430						
PHROG_1431						
PHROG_1432						
PHROG_1433						
PHROG_1434						
PHROG_1435						
PHROG_1436						
PHROG_1437						
PHROG_1438						
PHROG_1439						
PHROG_1440						
